,Most recent count year,Number of times counted,Most recent count value,annual increase,growth rate,rvalue
B-BarrowStAlbionSt,2017,3,165,11.0,6.67,0.985
B-EwingStBrunswickRd,2016,3,287,14.0,4.88,0.763
B-FraserStAlbionSt,2017,3,114,9.0,7.89,0.998
B-GranthamDawsonSt,2016,3,180,-1.0,-0.56,-0.545
B-GrayBrunswick,2013,2,62,,,
B-SydneyRdAlbionSt,2016,3,233,3.0,1.29,0.585
B-SydneyRdBlythSt,2017,3,208,-3.0,-1.44,-0.805
B-SydneyRdBrunswickRd,2017,3,549,14.0,,0.377
B-SydneyRdGlenlyonRd,2016,4,459,43.0,9.37,0.685
B-SydneyRdParkSt,2015,5,1063,40.0,3.76,0.905
B-SydneyRdVictoriaSt,2017,3,300,-8.0,-2.67,-0.676
B-UpfieldAlbionSt,2016,3,668,44.0,6.59,1.0
B-UpfieldBrunswickRd,2017,3,1187,73.0,6.15,0.975
B-UpfieldDawsonSt,2017,3,651,-34.0,,-0.393
B-UpfieldParkSt,2015,4,1134,62.0,5.47,0.744
B-UpfieldVictoriaSt,2017,3,985,71.0,7.21,0.979
BE-BellvueStBlythSt,2015,2,185,,,
BE-CanningBrunswick,2017,1,209,,,
BE-JohnStGlenlyonRd,2016,3,382,30.0,7.85,0.986
BE-LygonStBlythSt,2015,2,210,,,
BE-LygonStBrunswickRd,2015,3,309,7.0,2.27,0.982
BE-LygonStGlenlyonRd,2016,3,322,11.0,3.42,0.744
BE-MerriCrkBlythSt,2016,2,429,,,
BE-MerriCrkSumner,2016,2,253,,,
BE-NicholsonStBlythSt,2017,3,113,-10.0,-8.85,-0.907
BE-NicholsonStBrunswickRd,2016,3,124,-7.0,-5.65,-0.952
BE-NicholsonStGlenlyonRd,2017,3,173,1.0,,0.196
BE-TruscottBrunswickRd,2017,4,322,12.0,3.73,0.692
BW-55TramParkSt,2017,3,287,7.0,2.44,0.512
BW-CityLinkBrunswickRd,2017,3,87,6.0,6.9,0.964
BW-CityLinkDawsonSt,2015,3,47,7.0,14.89,0.997
BW-CityLinkVictoriaSt,2014,1,42,,,
BW-DalyStDawsonSt,2016,3,133,4.0,,0.392
BW-FlemingStParkSt,2015,2,136,,,
BW-GranthamStBrunswickRd,2017,3,195,11.0,5.64,0.999
BW-HopetounAvAlbionSt,2016,3,75,8.0,10.67,0.937
BW-JolleyStAlbionSt,2015,2,98,,,
BW-MelvilleDawsonSt,2016,3,78,4.0,5.13,0.945
BW-MelvilleRdVictoriaSt,2017,4,103,5.0,4.85,0.839
BW-PearsonStVictoriaSt,2016,3,181,13.0,7.18,0.975
C-BarrowStHardingSt,2017,3,91,8.0,8.79,0.961
C-BarrowStMorelandRd,2016,3,138,9.0,6.52,0.897
C-BarrowStRennieSt,2017,2,97,,,
C-BourkeStOHeaSt,2016,3,106,15.0,14.15,0.976
C-DeCarleStMorelandRd,2016,3,89,10.0,11.24,0.981
C-HaigAvMorelandRd,2016,3,97,5.0,5.15,0.978
C-MerriCrkDeCheneBridge,2017,2,117,,,
C-MerriCrkHardingSt,2017,3,161,16.0,9.94,0.973
C-MerriCrkMorelandRd,2016,2,275,,,
C-NicholsonStHardingSt,2017,3,91,5.0,5.49,0.756
C-NicholsonStMorelandRd,2016,3,147,6.0,4.08,0.995
C-ShaftsburyStMunroSt,2016,3,32,1.0,3.13,0.996
C-SydneyRdMorelandRd,2015,4,156,6.0,3.85,0.981
C-SydneyRdMunroSt,2015,4,79,1.0,,0.353
C-SydneyRdOHeaSt,2016,2,82,,,
C-UpfieldMorelandRd,2015,4,406,23.0,5.67,0.898
C-UpfieldMunroSt,2015,4,238,16.0,6.72,0.663
C-UpfieldOHeaSt,2017,4,241,18.0,7.47,0.761
CN-ElizabethStBoyneSt,2015,2,42,,,
CN-NewlandsRdCarrSt,2015,2,11,,,
CN-SussexStBoundaryRd,2017,3,15,-0.0,,-0.319
CN-SydneyRdBakersRd,2015,3,15,1.0,,0.427
CN-UpfieldBakersRd,2015,3,25,-9.0,-36.0,-0.753
CN-UpfieldBoundaryRd,2015,3,51,4.0,7.84,0.682
CN-UpfieldGaffneySt,2016,3,170,9.0,5.29,0.928
F-McBrydeStVictorySt,2015,2,12,,,
F-MerriCrkQueensPde,2015,2,2,,,
F-UpfieldBoxForestRd,2015,3,28,1.0,3.57,0.645
F-WilliamStAndersonRd,2016,3,7,1.0,14.29,0.756
F-WyunaStYungeraSt,2015,2,9,,,
FN-KingStGlenlyon,2013,1,167,,,
G-HarringtonStWestRingRdTrail,2015,2,22,,,
G-LoganStGlenroyRd,2016,3,18,2.0,11.11,0.994
G-PascoeValeRdGlenroyRd,2015,3,15,-1.0,,-0.397
G-WidfordStWestRingRdTrail,2017,2,26,,,
Gow-MooneePondsCrkTrestleBridge,2014,1,44,,,
Gow-MooneePondsCrkWestRingRd,2014,1,35,,,
Gow-WestRingRdTrailGowanbraeDr,2014,1,17,,,
H-HiltonStWestSt,2016,2,2,,,
MerriCrkTrailWestRingRdTrail,2014,1,38,,,
OP-PascoeValeRdWinifredSt,2015,3,22,3.0,13.64,0.854
OP-StationRdMeakerAv,2017,3,14,2.0,14.29,0.655
OP-WaterlooStSnellGv,2015,2,10,,,
PV-BurgandyStGaffneySt,2015,3,57,3.0,5.26,0.895
PV-CumberlandRdEssexSt,2015,3,23,1.0,4.35,0.842
PV-DerbyStGaffneySt,2016,3,34,-0.0,,-0.053
PV-LandellsRdKentRd,2014,1,13,,,
PV-WestStBoundaryRd,2017,3,35,2.0,5.71,1.0
PVS-KernanAvTateSt,2015,3,49,10.0,20.41,0.505
PVS-MelvilleRdMorelandRd,2016,3,73,-3.0,-4.11,-0.711
PVS-MelvilleRdRenyardSt,2015,2,58,,,
PVS-MooneePondsCrkMorelandRd,2015,2,156,,,
PVS-ReynoldsPdeReynardSt,2015,2,24,,,
PVS-SussexStOHeaSt,2015,3,55,4.0,7.27,0.935
SydneyRdWestRingRdTrail,2017,2,24,,,
